No,ObservationDate,Province,Confirmed,Deaths,Recovered
1,3/1/2020,DKI Jakarta,39,20,41
2,3/2/2020,DKI Jakarta,41,20,41
3,3/2/2020,Indonesia,2,0,0
4,3/2/2020,Riau,2,0,3
5,3/3/2020,DKI Jakarta,43,20,41
6,3/3/2020,Indonesia,2,0,0
7,3/3/2020,Jawa Barat,1,1,8
8,3/3/2020,Riau,2,0,3
9,3/4/2020,DKI Jakarta,45,20,41
10,3/4/2020,Indonesia,2,0,0
11,3/4/2020,Jawa Barat,2,1,8
12,3/4/2020,Riau,2,0,3
13,3/5/2020,DKI Jakarta,45,21,41
14,3/5/2020,Indonesia,2,0,0
15,3/5/2020,Jawa Barat,3,1,8
16,3/5/2020,Riau,2,0,3
17,3/6/2020,Banten,1,5,74
18,3/6/2020,DKI Jakarta,45,21,41
19,3/6/2020,Indonesia,4,0,0
20,3/6/2020,Jawa Barat,4,1,8
21,3/6/2020,Riau,2,0,3
22,3/7/2020,Banten,1,5,74
23,3/7/2020,DKI Jakarta,45,23,41
24,3/7/2020,Indonesia,4,0,0
25,3/7/2020,Jawa Barat,4,1,8
26,3/7/2020,Riau,2,0,3
27,3/8/2020,Banten,2,5,77
28,3/8/2020,DKI Jakarta,45,23,41
29,3/8/2020,Indonesia,6,0,0
30,3/8/2020,Jawa Barat,4,1,8
31,3/8/2020,Jawa Tengah,1,8,8
32,3/8/2020,Riau,2,0,3
33,3/9/2020,Banten,2,5,77
34,3/9/2020,DKI Jakarta,45,24,41
35,3/9/2020,Indonesia,19,0,0
36,3/9/2020,Jawa Barat,4,1,8
37,3/9/2020,Jawa Tengah,1,8,8
38,3/9/2020,Riau,2,0,3
39,3/10/2020,Banten,2,5,85
40,3/10/2020,DKI Jakarta,45,24,41
41,3/10/2020,Indonesia,27,0,2
42,3/10/2020,Jawa Barat,4,1,8
43,3/10/2020,Jawa Tengah,1,8,8
44,3/10/2020,Riau,2,0,3
45,3/10/2020,Sulawesi Tenggara,1,0,0
46,3/11/2020,Bali,1,1,3
47,3/11/2020,Banten,2,5,93
48,3/11/2020,DKI Jakarta,45,24,41
49,3/11/2020,Indonesia,34,1,2
50,3/11/2020,Jawa Barat,4,2,8
51,3/11/2020,Jawa Tengah,3,9,9
52,3/11/2020,Riau,2,0,3
53,3/11/2020,Sulawesi Tenggara,1,0,0
54,3/12/2020,Bali,1,1,3
55,3/12/2020,Banten,2,6,95
56,3/12/2020,DKI Jakarta,47,25,45
57,3/12/2020,Indonesia,34,1,2
58,3/12/2020,Jawa Barat,5,2,8
59,3/12/2020,Jawa Tengah,3,9,9
60,3/12/2020,Riau,2,0,3
61,3/12/2020,Sulawesi Tenggara,1,0,0
62,3/13/2020,Bali,1,1,3
63,3/13/2020,Banten,3,7,95
64,3/13/2020,DKI Jakarta,51,26,48
65,3/13/2020,Indonesia,69,4,2
66,3/13/2020,Jawa Barat,9,2,9
67,3/13/2020,Jawa Tengah,3,9,9
68,3/13/2020,Riau,2,0,3
69,3/13/2020,Sulawesi Tenggara,1,0,0
70,3/14/2020,Bali,1,1,3
71,3/14/2020,Banten,4,7,97
72,3/14/2020,DKI Jakarta,53,27,49
73,3/14/2020,Indonesia,96,5,8
74,3/14/2020,Jawa Barat,9,2,9
75,3/14/2020,Jawa Tengah,5,9,10
76,3/14/2020,Kalimantan Timur,3,0,2
77,3/14/2020,Riau,2,0,3
78,3/14/2020,Sulawesi Tenggara,1,0,0
79,3/15/2020,Bali,1,1,3
80,3/15/2020,Banten,5,7,102
81,3/15/2020,DKI Jakarta,61,30,49
82,3/15/2020,Indonesia,117,5,8
83,3/15/2020,Jawa Barat,9,2,11
84,3/15/2020,Jawa Tengah,6,9,11
85,3/15/2020,Kalimantan Timur,5,0,2
86,3/15/2020,Riau,2,0,3
87,3/15/2020,Sulawesi Tenggara,1,0,0
88,3/16/2020,Bali,1,1,3
89,3/16/2020,Banten,6,7,106
90,3/16/2020,DKI Jakarta,63,33,49
91,3/16/2020,Daerah Istimewa Yogyakarta,1,0,1
92,3/16/2020,Indonesia,134,5,8
93,3/16/2020,Jawa Barat,9,2,13
94,3/16/2020,Jawa Tengah,7,9,11
95,3/16/2020,Kalimantan Timur,6,0,2
96,3/16/2020,Riau,2,0,3
97,3/16/2020,Sulawesi Tenggara,3,0,0
98,3/17/2020,Bali,1,1,3
99,3/17/2020,Banten,6,8,109
100,3/17/2020,DKI Jakarta,65,34,49
101,3/17/2020,Daerah Istimewa Yogyakarta,1,0,1
102,3/17/2020,Indonesia,172,5,9
103,3/17/2020,Jawa Barat,20,2,13
104,3/17/2020,Jawa Tengah,8,9,12
105,3/17/2020,Kalimantan Timur,7,0,2
106,3/17/2020,Riau,2,0,3
107,3/17/2020,Sulawesi Tenggara,3,0,0
108,3/17/2020,Sumatera Utara,1,1,0
109,3/18/2020,Bali,1,1,3
110,3/18/2020,Banten,6,9,110
111,3/18/2020,DKI Jakarta,66,35,49
112,3/18/2020,Daerah Istimewa Yogyakarta,1,0,1
113,3/18/2020,Indonesia,227,19,11
114,3/18/2020,Jawa Barat,24,3,15
115,3/18/2020,Jawa Tengah,11,10,12
116,3/18/2020,Jawa Timur,18,33,215
117,3/18/2020,Kalimantan Timur,7,0,2
118,3/18/2020,Riau,2,0,3
119,3/18/2020,Sulawesi Tenggara,3,0,0
120,3/18/2020,Sumatera Utara,1,1,0
121,3/19/2020,Bali,2,2,3
122,3/19/2020,Banten,6,10,113
123,3/19/2020,DKI Jakarta,68,35,50
124,3/19/2020,Daerah Istimewa Yogyakarta,1,0,1
125,3/19/2020,Indonesia,309,25,15
126,3/19/2020,Jawa Barat,29,4,16
127,3/19/2020,Jawa Tengah,13,10,12
128,3/19/2020,Jawa Timur,21,33,215
129,3/19/2020,Kalimantan Timur,7,0,2
130,3/19/2020,Kepulauan Riau,1,1,0
131,3/19/2020,Riau,2,0,3
132,3/19/2020,Sulawesi Selatan,2,0,1
